ITEM: TIMESTEP
5000
ITEM: NUMBER OF ATOMS
432
ITEM: BOX BOUNDS pp pp pp
1 12.7406 0.192153 20.1103
2 12.5508 2.6657 20.1669
2 2.78968 5.2096 17.8972
1 0.166753 5.23689 17.8053
2 0.203667 5.10361 20.1552
1 5.05538 5.25464 17.7664
2 7.65948 5.12786 17.8438
1 10.0164 5.12525 17.6245
1 10.1178 7.53914 20.1923
2 12.6589 5.20627 17.6811
1 12.5778 7.52575 17.6083
1 15.0474 7.61784 20.1959
2 12.6528 7.60167 20.2052
2 0.312579 7.67942 17.6697
1 2.61908 7.65834 17.731
2 2.61528 10.0538 17.8659
1 2.69462 10.1463 20.1972
1 0.182969 10.1318 17.832
2 5.06363 7.80733 17.7173
1 5.05792 10.2502 17.7729
2 7.5599 10.2988 17.874
1 7.63397 7.85284 17.6848
2 9.9235 7.66115 17.6551
1 9.97046 10.1686 17.7938
2 10.1177 10.0772 20.1695
2 12.528 10.0848 17.6851
1 12.4693 10.042 20.0067
1 0.266639 14.9521 17.6753
1 2.57222 12.6641 17.7509
2 0.239383 15.0687 20.1427
2 2.68897 12.6905 20.212
2 5.115 12.5682 17.929
1 7.58469 12.6601 17.7501
1 10.1109 15.0716 17.6244
2 10.0874 12.6426 17.7382
2 10.0814 15.0498 20.2164
2 12.5586 15.0021 17.6752
2 15.0101 12.5528 17.6269
1 12.719 12.5715 17.7816
2 12.5125 12.5349 20.1946
1 2.67642 0.153557 20.324
2 2.67974 2.66697 20.3026
1 2.64202 2.5577 22.7144
1 0.330556 0.197542 22.9055
2 2.67326 0.215439 22.7541
2 7.61748 2.72767 20.3132
2 5.16515 2.64315 22.6545
2 7.59747 0.185002 22.7881
1 4.99927 0.303528 22.6636
2 5.18136 0.284238 20.2805
1 7.68001 2.69501 22.7365
2 10.1052 2.67207 22.6348
2 14.9245 2.68378 22.7527
1 12.5614 2.49415 22.4393
2 12.4897 0.160099 22.7343
2 2.52971 5.29542 22.743
1 2.80011 5.1698 20.3302
1 0.164169 5.00606 22.8034
1 2.64049 7.62414 22.6339
2 5.13236 5.28142 20.3719
1 7.58332 5.14239 20.3618
1 4.96606 5.16481 22.7365
2 10.159 5.21471 20.2461
2 7.6886 5.20024 22.669
1 10.0764 5.37189 22.6245
1 12.5197 5.29777 20.3587
2 12.52 5.22347 22.627
1 12.6783 7.54747 22.7084
2 2.69602 7.71101 20.2827
2 2.5798 10.1509 22.7117
2 7.61658 7.70524 20.3012
2 5.06438 10.0712 20.2519
1 5.13512 7.82301 20.2981
1 7.60074 7.7759 22.7528
2 5.12491 7.76057 22.8434
1 5.20613 10.2425 22.8437
1 7.53058 10.2009 20.2987
2 10.1205 7.6989 22.6541
2 7.65447 10.1749 22.717
1 10.0366 10.1703 22.8208
2 15.0496 10.1269 20.3387
2 15.0198 7.63456 22.6281
1 14.8644 10.0719 22.6653
2 12.5372 10.1398 22.7588
1 2.53995 12.5069 22.5597
1 5.04571 12.7053 20.4412
2 5.13073 12.7125 22.8089
1 7.49892 12.7067 22.7805
1 7.69603 15.0889 20.2972
2 7.63872 12.6903 20.3398
1 10.0512 12.4767 20.2648
1 10.02 15.0603 22.7708
2 9.95974 12.6286 22.835
1 14.9481 12.4217 20.3159
2 15.0385 12.5696 22.6422
1 12.4792 12.7208 22.5367
2 2.58594 2.72678 25.192
1 2.72391 0.194566 25.3042
1 5.0048 2.76312 25.1355
2 5.06434 0.340221 25.2274
1 7.60111 0.212204 25.2248
2 7.63498 2.70083 25.1695
1 10.0851 2.62898 25.2978
1 15.0064 2.59823 25.2494
2 12.4872 2.61701 25.3297
1 12.483 0.207583 25.1903
1 2.55867 5.20561 25.2661
2 2.70237 7.60177 25.0583
2 5.11841 5.19527 25.1283
1 7.49889 5.03387 25.2493
2 10.1128 5.18089 25.2376
2 15.0345 5.14054 25.2966
1 12.5145 5.25197 25.0075
1 0.210316 7.62777 25.2818
1 2.71808 10.2443 25.0854
2 0.267303 10.161 25.1826
1 5.16432 7.75937 25.2028
2 5.26215 10.1193 25.2118
2 7.62101 7.6939 25.1378
1 7.51 10.1546 25.2075
1 10.0695 7.73019 25.1038
2 10.2184 10.1608 25.3394
2 12.6432 7.6398 25.191
1 12.6533 10.1916 25.215
2 2.70371 12.7147 25.3008
2 0.244781 15.1007 25.2774
1 5.12832 12.6483 25.2204
2 7.56634 12.4409 25.1163
2 10.0406 15.0198 25.2154
1 10.0293 12.4647 25.3607
1 14.92 12.7324 25.1404
2 12.6652 12.6614 25.35
1 2.70371 0.339305 30.1588
1 2.77994 2.62926 27.7919
2 2.4939 0.238702 27.8054
2 0.190198 2.63595 27.7984
2 5.1206 2.59602 27.7035
1 5.05218 0.22495 27.6246
1 7.6309 2.51161 27.7477
2 7.75861 0.197578 27.5636
2 10.0737 2.78839 27.6999
1 15.0151 2.72058 30.1281
2 12.6367 2.61874 30.1854
1 12.5029 2.61214 27.5919
2 2.65971 7.62025 30.107
2 2.68747 5.07769 27.6526
1 0.199885 7.61302 30.0438
1 0.200963 5.09856 27.7336
1 5.10729 5.04986 27.5544
2 5.08948 7.5217 27.7216
2 7.67659 5.1568 27.7113
1 10.0433 5.08633 27.6585
2 15.0861 5.2181 30.0208
2 15.0098 7.58998 27.6363
2 12.6516 5.12127 27.6644
1 12.5919 7.52511 27.6412
1 2.83019 7.70334 27.7595
2 2.69291 10.1508 27.7833
1 0.18035 10.1877 27.6246
2 5.20117 10.0509 30.1119
1 5.18722 10.1666 27.7307
2 10.1063 7.76557 27.5549
2 7.66224 10.1621 27.6855
1 7.6683 7.62817 27.7008
1 10.1637 10.1685 27.6401
2 12.6145 7.68882 30.1333
1 12.6761 9.96819 30.0646
2 12.5996 9.94732 27.6859
1 2.4616 12.5932 27.7574
2 0.160694 12.6187 27.8135
2 5.17998 15.0215 30.1431
2 5.12008 12.6471 27.6828
1 7.70182 15.0275 30.0571
1 10.2348 12.6176 30.0818
1 10.1743 14.9854 27.5058
1 7.63636 12.6385 27.8657
2 10.227 12.5116 27.8113
1 14.9641 14.8718 27.7665
2 12.6232 12.5674 30.1626
2 12.66 15.0881 27.744
1 12.5786 12.5222 27.7853
