LAMMPS (2 Aug 2023)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (93.342894 23.335724 46.671447)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  4096 atoms
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.002 seconds
  read_data CPU = 0.042 seconds
2048 atoms in group gSolid
2048 atoms in group gLiquid
Neighbor list info ...
  update: every = 1 steps, delay = 10 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.3
  ghost atom cutoff = 6.3
  binsize = 3.15, bins = 30 8 15
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair chgnet/gpu, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 7.102 | 7.102 | 7.102 Mbytes
   Step          Temp          PotEng         TotEng         Press          Volume        c_msd[4]   
      1120   304.02378     -15343.232     -15182.306     -74.332677      127614.38      6.8497129    
      1130   306.38362     -15344.833     -15182.658     -111.85323      127594.25      6.8502379    
      1140   308.12148     -15346.176     -15183.081     -154.24063      127572.79      6.8505574    
      1150   308.24075     -15346.742     -15183.584     -177.30734      127549.01      6.8505162    
      1160   307.22121     -15346.797     -15184.178     -197.55553      127522.39      6.8501424    
      1170   305.6866      -15346.651     -15184.845     -243.44926      127492.48      6.8494091    
      1180   303.44736     -15346.175     -15185.554     -265.25601      127458.51      6.8479401    
      1190   300.77621     -15345.491     -15186.284     -273.53957      127420.2       6.8452696    
      1200   298.43721     -15344.992     -15187.023     -254.06813      127377.83      6.8410383    
      1210   296.63851     -15344.744     -15187.727     -220.21209      127332.2       6.8352326    
      1220   295.51247     -15344.799     -15188.378     -175.44376      127284.46      6.8280223    
      1230   295.14032     -15345.199     -15188.975     -120.63406      127235.98      6.8197362    
      1240   295.02946     -15345.682     -15189.517     -51.670123      127188.28      6.8108718    
      1250   294.94709     -15346.124     -15190.003      5.4791862      127143.13      6.8020273    
      1260   294.78076     -15346.46      -15190.427      60.379331      127101.93      6.7935948    
      1270   295.37161     -15347.158     -15190.812      96.562965      127065.76      6.7857087    
